Name,Key,Mode,Key Signature
This Girl (Kungs Vs. Cookin' On 3 Burners),0,0,C Minor
If the World Was Ending (feat. Julia Michaels),1,1,C♯/D♭ Major
Summer Of '69,2,1,D Major
Arcade,9,0,A Minor
How Deep Is Your Love,11,0,B/C♭ Minor
What Makes You Beautiful,4,1,E Major
All I Want,0,1,C Major
Drag Me Down,0,0,C Minor
Bad Romance,0,1,C Major
Poker Face,4,1,E Major
Toosie Slide,1,0,C♯/D♭ Minor
Solo (feat. Demi Lovato),11,0,B/C♭ Minor
Middle,9,1,A Major
Welcome To The Jungle,8,1,A♭ Major
Anti-Hero,4,1,E Major
Glimpse of Us,8,1,A♭ Major
Stuck with U (with Justin Bieber),8,1,A♭ Major
What You Know Bout Love,10,1,B♭ Major
Too Good,7,1,G Major
Nothing Else Matters (Remastered),4,0,E Minor
Mine,4,1,E Major
Roar,7,0,G Minor
Summertime Sadness,1,0,C♯/D♭ Minor
Rap God,7,1,G Major
Say Something,2,1,D Major
Back To You - From 13 Reasons Why – Season 2 Soundtrack,6,1,F♯/G♭ Major
ZEZE (feat. Travis Scott & Offset),8,0,A♭ Minor
Bruises,4,1,E Major
Roses (feat. ROZES),4,1,E Major
God is a woman,1,1,C♯/D♭ Major
Where Are You Now,6,0,F♯/G♭ Minor
We Are Young (feat. Janelle Monáe),10,1,B♭ Major
Promises (with Sam Smith),11,1,B/C♭ Major
I Love You So,10,1,B♭ Major
My House,7,0,G Minor
Rain On Me (with Ariana Grande),9,1,A Major
Make You Feel My Love,10,1,B♭ Major
Budapest,5,1,F Major
Can't Stop,4,0,E Minor
Last Resort,4,0,E Minor
Perfect Strangers,1,1,C♯/D♭ Major
TiK ToK,2,0,D Minor
Zombie,7,1,G Major
No Lie,7,1,G Major
idontwannabeyouanymore,7,1,G Major
"10,000 Hours (with Justin Bieber)",10,1,B♭ Major
Like I'm Gonna Lose You (feat. John Legend),0,1,C Major
bury a friend,8,1,A♭ Major
Hey There Delilah,2,1,D Major
Strip That Down (feat. Quavo),6,1,F♯/G♭ Major
Candy Paint,4,1,E Major
